No.,Time,Source,Destination,Protocol,Length,Info,Target
1,0,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
2,0.961764,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
3,1.711403,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
4,1.999868,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
5,2.461536,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
6,2.567083,Avaya_7f:80:01,Nortel-autodiscovery,NDP,60,FlatNet Hello,0
7,3.999849,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
8,5.362353,162.125.34.129,10.0.0.75,TLSv1.2,311,Application Data,0
9,5.368237,10.0.0.75,162.125.34.129,TLSv1.2,1065,Application Data,0
10,5.624738,162.125.34.129,10.0.0.75,TCP,60,443  >  50550 [ACK] Seq=258 Ack=1012 Win=90 Len=0,0
11,5.999818,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
12,7.814476,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
13,7.999846,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
14,8.56418,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
15,9.314157,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
16,9.999883,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
17,10.552049,10.0.0.64,10.0.3.255,BROWSER,253,"Domain/Workgroup Announcement NEWTGLOBAL, NT Workstation, Domain Enum",0
18,11.23541,10.0.0.75,208.71.44.30,TCP,55,[TCP segment of a reassembled PDU],0
19,11.503375,208.71.44.30,10.0.0.75,TCP,66,443  >  50526 [ACK] Seq=1 Ack=2 Win=187 Len=0 SLE=1 SRE=2,0
20,11.999936,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
21,12.566737,Avaya_7f:80:01,Nortel-autodiscovery,NDP,60,FlatNet Hello,0
22,13.839293,Cisco_c9:70:28,LLDP_Multicast,LLDP,82,TTL = 120 ,0
23,13.999943,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
24,14.739528,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
25,15.489255,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
26,15.999666,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
27,16.23924,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
28,17.999735,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
29,19.99979,Cisco_c9:70:28,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/0/00:5f:86:c9:70:1c  Cost = 0  Port = 0x800c,0
30,20.441336,10.0.0.75,121.242.190.180,DNS,76,Standard query 0xb0c9 A www.google.co.in,0
31,20.474419,10.0.0.75,8.8.8.8,DNS,76,Standard query 0xb0c9 A www.google.co.in,0
32,20.477027,8.8.8.8,10.0.0.75,DNS,92,Standard query response 0xb0c9 A www.google.co.in A 216.239.38.120,0
33,20.483502,10.0.0.75,216.239.38.120,TCP,66,50592  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,0
34,20.485845,216.239.38.120,10.0.0.75,TCP,66,"443  >  50592 [SYN, ACK] Seq=0 Ack=1 Win=42780 Len=0 MSS=1380 SACK_PERM=1 WS=256",0
35,20.485988,10.0.0.75,216.239.38.120,TCP,54,50592  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0,0
36,20.486408,10.0.0.75,216.239.38.120,TLSv1.2,571,Client Hello,0
37,20.489064,216.239.38.120,10.0.0.75,TCP,60,443  >  50592 [ACK] Seq=1 Ack=518 Win=44032 Len=0,0
38,20.489737,216.239.38.120,10.0.0.75,TLSv1.2,214,"Server Hello, Change Cipher Spec, Encrypted Handshake Message",0
39,20.491399,10.0.0.75,216.239.38.120,TLSv1.2,270,"Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message",0
40,20.496777,10.0.0.75,216.239.38.120,QUIC,1392,"Client Hello, PKN: 1, CID: 6047882625472204203",0
41,20.501208,10.0.0.75,216.239.38.120,TLSv1.2,147,Application Data,0
42,20.505895,216.239.38.120,10.0.0.75,TCP,60,443  >  50592 [ACK] Seq=161 Ack=827 Win=45056 Len=0,0
43,20.506554,216.239.38.120,10.0.0.75,TLSv1.2,123,Application Data,0
44,20.506796,10.0.0.75,216.239.38.120,TLSv1.2,92,Application Data,0
45,20.510331,216.239.38.120,10.0.0.75,TLSv1.2,92,Application Data,0
46,20.513474,10.0.0.75,216.239.38.120,QUIC,1392,"Client Hello, PKN: 2, CID: 6047882625472204203",0
47,20.51718,216.239.38.120,10.0.0.75,QUIC,80,"Payload (Encrypted), PKN: 1, CID: 6047882625472204203",0
48,20.533874,216.239.38.120,10.0.0.75,QUIC,1392,"Payload (Encrypted), PKN: 2",0
49,20.533876,216.239.38.120,10.0.0.75,QUIC,73,"Payload (Encrypted), PKN: 3",0
50,20.534916,10.0.0.75,216.239.38.120,QUIC,81,"Payload (Encrypted), PKN: 3, CID: 6047882625472204203",0
51,20.535248,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 4, CID: 6047882625472204203",0
52,20.535758,10.0.0.75,216.239.38.120,QUIC,1147,"Payload (Encrypted), PKN: 5, CID: 6047882625472204203",0
53,20.535871,10.0.0.75,216.239.38.120,QUIC,66,"Payload (Encrypted), PKN: 6, CID: 6047882625472204203",0
54,20.539339,216.239.38.120,10.0.0.75,QUIC,78,"Payload (Encrypted), PKN: 4",0
55,20.563057,10.0.0.75,216.239.38.120,TCP,54,50592  >  443 [ACK] Seq=865 Ack=268 Win=65792 Len=0,0
56,20.577347,216.239.38.120,10.0.0.75,QUIC,211,"Payload (Encrypted), PKN: 5",0
57,20.577348,216.239.38.120,10.0.0.75,QUIC,60,"Payload (Encrypted), PKN: 6",0
58,20.577976,10.0.0.75,216.239.38.120,QUIC,83,"Payload (Encrypted), PKN: 7, CID: 6047882625472204203",0
59,20.922187,10.0.0.75,121.242.190.180,DNS,77,Standard query 0xb11b A beacons3.gvt2.com,0
60,20.953502,10.0.0.75,8.8.8.8,DNS,77,Standard query 0xb11b A beacons3.gvt2.com,0
61,21.592876,10.0.0.64,10.0.3.255,NBNS,92,Name query NB NEWTGLOBAL<1c>,0
62,21.633948,8.8.8.8,10.0.0.75,DNS,141,Standard query response 0xb11b A beacons3.gvt2.com A 216.58.207.35 A 216.58.206.3 A 172.217.23.131 A 172.217.22.3,0
